trading_symbol,instrument_key
20MICRONS,NSE_EQ|INE144J01027
360ONE,NSE_EQ|INE466L01038
3IINFOLTD,NSE_EQ|INE748C01038
3MINDIA,NSE_EQ|INE470A01017
5PAISA,NSE_EQ|INE618L01018
63MOONS,NSE_EQ|INE111B01023
AAATECH,NSE_EQ|INE0D0U01013
AADHARHFC,NSE_EQ|INE883F01010
AAKASH,NSE_EQ|INE087Z01024
AAREYDRUGS,NSE_EQ|INE198H01019
AARON,NSE_EQ|INE721Z01010
AARTIDRUGS,NSE_EQ|INE767A01016
AARTIIND,NSE_EQ|INE769A01020
AARTIPHARM,NSE_EQ|INE0LRU01027
AARTISURF,NSE_EQ|INE09EO04017
AARVI,NSE_EQ|INE754X01016
AAVAS,NSE_EQ|INE216P01012
ABAN,NSE_EQ|INE421A01028
ABB,NSE_EQ|INE117A01022
ABBOTINDIA,NSE_EQ|INE358A01014
ABCAPITAL,NSE_EQ|INE674K01013
ABDL,NSE_EQ|INE552Z01027
ABFRL,NSE_EQ|INE647O01011
ABINFRA,NSE_EQ|INE00YB01017
ABREL,NSE_EQ|INE055A01016
ABSLAMC,NSE_EQ|INE404A01024
ACC,NSE_EQ|INE012A01025
ACCELYA,NSE_EQ|INE793A01012
ACCURACY,NSE_EQ|INE648Z01023
ACE,NSE_EQ|INE731H01025
ACEINTEG,NSE_EQ|INE543V01017
ACI,NSE_EQ|INE128X01021
ACL,NSE_EQ|INE666E01020
ACLGATI,NSE_EQ|INE152B01027
ACMESOLAR,NSE_EQ|INE622W01025
ADANIENSOL,NSE_EQ|INE931S01010
ADANIENT,NSE_EQ|INE423A01024
ADANIGREEN,NSE_EQ|INE364U01010
ADANIPORTS,NSE_EQ|INE742F01042
ADANIPOWER,NSE_EQ|INE814H01011
ADFFOODS,NSE_EQ|INE982B01027
ADL,NSE_EQ|INE0CHO01012
ADORWELD,NSE_EQ|INE045A01017
ADSL,NSE_EQ|INE102I01027
ADVANIHOTR,NSE_EQ|INE199C01026
ADVENZYMES,NSE_EQ|INE837H01020
AEGISLOG,NSE_EQ|INE208C01025
AEROFLEX,NSE_EQ|INE024001021
AETHER,NSE_EQ|INE0BWX01014
AFCONS,NSE_EQ|INE101I01011
AFFLE,NSE_EQ|INE00WC01027
AFFORDABLE,NSE_EQ|INE692Z01013
AFIL,NSE_EQ|INE916Y01019
AGARIND,NSE_EQ|INE204E01012
AGI,NSE_EQ|INE415A01038
AGIIL,NSE_EQ|INE976R01017
AGRITECH,NSE_EQ|INE449G01018
AGROPHOS,NSE_EQ|INE740V01019
AHLADA,NSE_EQ|INE00PV01013
AHLEAST,NSE_EQ|INE926K01017
AHLUCONT,NSE_EQ|INE758C01029
AIAENG,NSE_EQ|INE212H01026
AIIL,NSE_EQ|INE206F01022
AIRAN,NSE_EQ|INE645W01026
AIROLAM,NSE_EQ|INE801L01010
AJANTPHARM,NSE_EQ|INE031B01049
AJMERA,NSE_EQ|INE298G01027
AJOONI,NSE_EQ|INE820Y01021
AKASH,NSE_EQ|INE737W01013
AKG,NSE_EQ|INE00Y801016
AKSHARCHEM,NSE_EQ|INE542B01011
AKUMS,NSE_EQ|INE09XN01023
AKZOINDIA,NSE_EQ|INE133A01011
ALANKIT,NSE_EQ|INE914E01040
ALBERTDAVD,NSE_EQ|INE155C01010
ALEMBICLTD,NSE_EQ|INE426A01027
ALICON,NSE_EQ|INE062D01024
ALKALI,NSE_EQ|INE773I01017
ALKEM,NSE_EQ|INE540L01014
ALKYLAMINE,NSE_EQ|INE150B01039
ALLCARGO,NSE_EQ|INE418H01029
ALLDIGI,NSE_EQ|INE835G01018
ALOKINDS,NSE_EQ|INE270A01029
ALPA,NSE_EQ|INE385I01010
ALPHAGEO,NSE_EQ|INE137C01018
AMBER,NSE_EQ|INE371P01015
AMBICAAGAR,NSE_EQ|INE792B01012
AMBIKCO,NSE_EQ|INE540G01014
AMBUJACEM,NSE_EQ|INE079A01024
AMDIND,NSE_EQ|INE005I01014
AMIORG,NSE_EQ|INE00FF01017
AMJLAND,NSE_EQ|INE606A01024
AMNPLST,NSE_EQ|INE275D01022
AMRUTANJAN,NSE_EQ|INE098F01031
ANANDRATHI,NSE_EQ|INE463V01026
ANANTRAJ,NSE_EQ|INE242C01024
ANDHRAPAP,NSE_EQ|INE435A01051
ANDHRSUGAR,NSE_EQ|INE715B01021
ANGELONE,NSE_EQ|INE732I01013
ANIKINDS,NSE_EQ|INE087B01017
ANMOL,NSE_EQ|INE02AR01019
ANTGRAPHIC,NSE_EQ|INE414B01021
ANUHPHR,NSE_EQ|INE489G01022
ANUP,NSE_EQ|INE294Z01018
ANURAS,NSE_EQ|INE930P01018
APARINDS,NSE_EQ|INE372A01015
APCL,NSE_EQ|INE071F01012
APCOTEXIND,NSE_EQ|INE116A01032
APEX,NSE_EQ|INE346W01013
APLAPOLLO,NSE_EQ|INE702C01027
APLLTD,NSE_EQ|INE901L01018
APOLLO,NSE_EQ|INE713T01028
APOLLOHOSP,NSE_EQ|INE437A01024
APOLLOPIPE,NSE_EQ|INE126J01016
APOLLOTYRE,NSE_EQ|INE438A01022
APOLSINHOT,NSE_EQ|INE451F01024
APTECHT,NSE_EQ|INE266F01018
APTUS,NSE_EQ|INE852O01025
ARCHIDPLY,NSE_EQ|INE877I01016
ARCHIES,NSE_EQ|INE731A01020
ARE&M,NSE_EQ|INE885A01032
ARIHANTCAP,NSE_EQ|INE420B01036
ARIHANTSUP,NSE_EQ|INE643K01018
ARKADE,NSE_EQ|INE0QRL01017
ARMANFIN,NSE_EQ|INE109C01017
AROGRANITE,NSE_EQ|INE210C01013
ARROWGREEN,NSE_EQ|INE570D01018
ARTEMISMED,NSE_EQ|INE025R01021
ARVEE,NSE_EQ|INE006Z01016
ARVIND,NSE_EQ|INE034A01011
ARVINDFASN,NSE_EQ|INE955V01021
ARVSMART,NSE_EQ|INE034S01021
ASAHIINDIA,NSE_EQ|INE439A01020
ASAHISONG,NSE_EQ|INE228I01012
ASAL,NSE_EQ|INE900C01027
ASALCBR,NSE_EQ|INE073G01016
ASHAPURMIN,NSE_EQ|INE348A01023
ASHIANA,NSE_EQ|INE365D01021
ASHIMASYN,NSE_EQ|INE440A01010
ASHOKA,NSE_EQ|INE442H01029
ASHOKAMET,NSE_EQ|INE760Y01011
ASHOKLEY,NSE_EQ|INE208A01029
ASIANENE,NSE_EQ|INE276G01015
ASIANPAINT,NSE_EQ|INE021A01026
ASIANTILES,NSE_EQ|INE022I01019
ASKAUTOLTD,NSE_EQ|INE491J01022
ASMS,NSE_EQ|INE855F01042
ASPINWALL,NSE_EQ|INE991I01015
ASTEC,NSE_EQ|INE563J01010
ASTERDM,NSE_EQ|INE914M01019
ASTRAL,NSE_EQ|INE006I01046
ASTRAMICRO,NSE_EQ|INE386C01029
ASTRAZEN,NSE_EQ|INE203A01020
ASTRON,NSE_EQ|INE646X01014
ATAM,NSE_EQ|INE09KD01013
ATFL,NSE_EQ|INE209A01019
ATGL,NSE_EQ|INE399L01023
ATL,NSE_EQ|INE0NN701020
ATUL,NSE_EQ|INE100A01010
ATULAUTO,NSE_EQ|INE951D01028
AUBANK,NSE_EQ|INE949L01017
AURIONPRO,NSE_EQ|INE132H01018
AUROPHARMA,NSE_EQ|INE406A01037
AURUM,NSE_EQ|INE898S01029
AUTOAXLES,NSE_EQ|INE449A01011
AUTOIND,NSE_EQ|INE718H01014
AVADHSUGAR,NSE_EQ|INE349W01017
AVALON,NSE_EQ|INE0LCL01028
AVANTEL,NSE_EQ|INE005B01027
AVANTIFEED,NSE_EQ|INE871C01038
AVL,NSE_EQ|INE679V01027
AVTNPL,NSE_EQ|INE488D01021
AWFIS,NSE_EQ|INE108V01019
AWHCL,NSE_EQ|INE01BK01022
AWL,NSE_EQ|INE699H01024
AXISBANK,NSE_EQ|INE238A01034
AXITA,NSE_EQ|INE02EZ01022
AYMSYNTEX,NSE_EQ|INE193B01039
AZAD,NSE_EQ|INE02IJ01035
BAIDFIN,NSE_EQ|INE020D01022
BAJAJ-AUTO,NSE_EQ|INE917I01010
BAJAJCON,NSE_EQ|INE933K01021
BAJAJELEC,NSE_EQ|INE193E01025
BAJAJFINSV,NSE_EQ|INE918I01026
BAJAJHCARE,NSE_EQ|INE411U01027
BAJAJHFL,NSE_EQ|INE377Y01014
BAJAJHIND,NSE_EQ|INE306A01021
BAJAJHLDNG,NSE_EQ|INE118A01012
BAJEL,NSE_EQ|INE0KQN01018
BAJFINANCE,NSE_EQ|INE296A01024
BALAJEE,NSE_EQ|INE0S2G01011
BALAMINES,NSE_EQ|INE050E01027
BALAXI,NSE_EQ|INE618N01022
